category,category_km2,platform_category_percent,year,platform,platform_km2,n_countries
barren,3646471.84,20.261659643051978,2001,afr100,17996906.0,30
cropland,1350109.5299999998,7.501897992910559,2001,afr100,17996906.0,30
forest,2374439.1999999997,13.193596721569806,2001,afr100,17996906.0,30
grassland,5481186.050000001,30.456268705298573,2001,afr100,17996906.0,30
savanna,3950764.18,21.952463273409332,2001,afr100,17996906.0,30
shrubland,837016.1000000001,4.650888880566471,2001,afr100,17996906.0,30
urban,32411.579999999998,0.18009528971257616,2001,afr100,17996906.0,30
water,266588.25000000006,1.481300452422211,2001,afr100,17996906.0,30
wetland,57919.240000000005,0.32182887436318225,2001,afr100,17996906.0,30
barren,3646172.59,20.25999685723757,2002,afr100,17996906.0,30
cropland,1335405.6400000001,7.42019567141152,2002,afr100,17996906.0,30
forest,2382142.0400000005,13.236397634126668,2002,afr100,17996906.0,30
grassland,5506869.58,30.598979513478596,2002,afr100,17996906.0,30
savanna,3940441.46,21.895104969709795,2002,afr100,17996906.0,30
shrubland,829219.63,4.607567711916704,2002,afr100,17996906.0,30
urban,32793.67,0.18221837686989087,2002,afr100,17996906.0,30
water,266309.88999999996,1.47975374211545,2002,afr100,17996906.0,30
wetland,57551.46999999999,0.31978535643848993,2002,afr100,17996906.0,30
barren,3638718.16,20.21857623749327,2003,afr100,17996906.0,30
cropland,1324431.3399999999,7.3592168564974445,2003,afr100,17996906.0,30
forest,2386946.7799999993,13.263095223145575,2003,afr100,17996906.0,30
grassland,5539609.57,30.780899616856367,2003,afr100,17996906.0,30
savanna,3923532.7800000003,21.801151709077107,2003,afr100,17996906.0,30
shrubland,827508.7299999999,4.598061077831933,2003,afr100,17996906.0,30
urban,33068.18000000001,0.1837436946106181,2003,afr100,17996906.0,30
water,265027.75,1.4726295175404038,2003,afr100,17996906.0,30
wetland,58062.74000000001,0.32262623364260506,2003,afr100,17996906.0,30
barren,3633258.4999999995,20.188239578514217,2004,afr100,17996906.0,30
cropland,1305992.6599999995,7.256762134558015,2004,afr100,17996906.0,30
forest,2392822.9699999997,13.295746335509001,2004,afr100,17996906.0,30
grassland,5575535.260000001,30.980521096237325,2004,afr100,17996906.0,30
savanna,3909033.6299999994,21.72058702757018,2004,afr100,17996906.0,30
shrubland,824019.06,4.578670689284036,2004,afr100,17996906.0,30
urban,33404.94,0.18561490513980572,2004,afr100,17996906.0,30
water,264209.9,1.4680851252987597,2004,afr100,17996906.0,30
wetland,58629.100000000006,0.3257732190188692,2004,afr100,17996906.0,30
barren,3622121.99,20.12635944200631,2005,afr100,17996906.0,30
cropland,1300650.89,7.22708053262044,2005,afr100,17996906.0,30
forest,2392792.889999999,13.295579195668406,2005,afr100,17996906.0,30
grassland,5607405.6499999985,31.157609257946884,2005,afr100,17996906.0,30
savanna,3897719.0600000005,21.657717498774513,2005,afr100,17996906.0,30
shrubland,820473.35,4.558968913878863,2005,afr100,17996906.0,30
urban,33668.73,0.18708065708627916,2005,afr100,17996906.0,30
water,263953.51000000007,1.4666604915311556,2005,afr100,17996906.0,30
wetland,58119.98999999999,0.3229443438777754,2005,afr100,17996906.0,30
barren,3614514.88,20.08409045421474,2006,afr100,17996906.0,30
cropland,1300550.37,7.226521992169099,2006,afr100,17996906.0,30
forest,2386933.0200000005,13.263018765558925,2006,afr100,17996906.0,30
grassland,5620754.080000001,31.23177995150945,2006,afr100,17996906.0,30
savanna,3902599.5899999994,21.68483621573619,2006,afr100,17996906.0,30
shrubland,814375.76,4.525087590055757,2006,afr100,17996906.0,30
urban,34035.71,0.1891197853675515,2006,afr100,17996906.0,30
water,263845.06,1.4660578879502955,2006,afr100,17996906.0,30
wetland,59297.52,0.3294873018728886,2006,afr100,17996906.0,30
barren,3608089.2600000002,20.048386428200494,2007,afr100,17996906.0,30
cropland,1304406.8100000003,7.247950342131032,2007,afr100,17996906.0,30
forest,2387485.8599999994,13.26609062691109,2007,afr100,17996906.0,30
grassland,5616958.61,31.210690382002333,2007,afr100,17996906.0,30
savanna,3899129.13,21.665552567758034,2007,afr100,17996906.0,30
shrubland,822245.17,4.568814050592919,2007,afr100,17996906.0,30
urban,34373.83,0.19099855275123404,2007,afr100,17996906.0,30
water,265195.9,1.4735638448075465,2007,afr100,17996906.0,30
wetland,59021.399999999994,0.327953038150002,2007,afr100,17996906.0,30
barren,3611482.6799999997,20.067242002597556,2008,afr100,17996906.0,30
cropland,1310378.7600000005,7.281133545955068,2008,afr100,17996906.0,30
forest,2382213.3000000003,13.236793591076157,2008,afr100,17996906.0,30
grassland,5615713.920000001,31.203774248751433,2008,afr100,17996906.0,30
savanna,3896650.14,21.651778033401964,2008,afr100,17996906.0,30
shrubland,821432.8999999999,4.564300663680745,2008,afr100,17996906.0,30
urban,34663.7,0.19260921849566806,2008,afr100,17996906.0,30
water,265235.32,1.4737828824576849,2008,afr100,17996906.0,30
wetland,59135.23,0.32858553575820204,2008,afr100,17996906.0,30
barren,3614573.44,20.084415843478872,2009,afr100,17996906.0,30
cropland,1310080.4000000001,7.2794757054351455,2009,afr100,17996906.0,30
forest,2380884.170000001,13.229408266065294,2009,afr100,17996906.0,30
grassland,5624664.110000001,31.253506074877546,2009,afr100,17996906.0,30
savanna,3894167.839999999,21.637985106995608,2009,afr100,17996906.0,30
shrubland,812525.6599999999,4.514807489687393,2009,afr100,17996906.0,30
urban,34994.36,0.19444653430984193,2009,afr100,17996906.0,30
water,265031.2199999999,1.4726487986323866,2009,afr100,17996906.0,30
wetland,59984.8,0.33330618051791794,2009,afr100,17996906.0,30
barren,3609693.27,20.05729912686103,2010,afr100,17996906.0,30
cropland,1308667.2599999995,7.271623577963898,2010,afr100,17996906.0,30
forest,2384710.6899999995,13.25067036522833,2010,afr100,17996906.0,30
grassland,5647173.46,31.37857951805716,2010,afr100,17996906.0,30
savanna,3888648.420000001,21.607316390939648,2010,afr100,17996906.0,30
shrubland,797325.18,4.430345860560699,2010,afr100,17996906.0,30
urban,35306.119999999995,0.19617883207257958,2010,afr100,17996906.0,30
water,264885.58999999997,1.4718396039852626,2010,afr100,17996906.0,30
wetland,60496.060000000005,0.33614700215692633,2010,afr100,17996906.0,30
barren,3606183.8699999996,20.037799108357845,2011,afr100,17996906.0,30
cropland,1303206.32,7.24127980665121,2011,afr100,17996906.0,30
forest,2382609.9099999997,13.238997358768223,2011,afr100,17996906.0,30
grassland,5677823.69,31.548887847722273,2011,afr100,17996906.0,30
savanna,3886655.539999999,21.596242931979525,2011,afr100,17996906.0,30
shrubland,779270.91,4.330027116883314,2011,afr100,17996906.0,30
urban,35707.64,0.19840988223197922,2011,afr100,17996906.0,30
water,264568.74,1.4700790235832757,2011,afr100,17996906.0,30
wetland,60879.30000000001,0.3382764793014978,2011,afr100,17996906.0,30
barren,3601693.6300000004,20.01284904194088,2012,afr100,17996906.0,30
cropland,1303848.3499999999,7.244847253188964,2012,afr100,17996906.0,30
forest,2368451.310000001,13.16032494696589,2012,afr100,17996906.0,30
grassland,5694461.760000001,31.641337461005804,2012,afr100,17996906.0,30
savanna,3893881.5200000005,21.63639416686402,2012,afr100,17996906.0,30
shrubland,772974.2300000001,4.295039547353307,2012,afr100,17996906.0,30
urban,36053.38999999999,0.20033104579198222,2012,afr100,17996906.0,30
water,264410.07999999996,1.4691974276022777,2012,afr100,17996906.0,30
wetland,61131.76999999999,0.33967933154732255,2012,afr100,17996906.0,30
barren,3598129.68,19.993045915781302,2013,afr100,17996906.0,30
cropland,1309751.6600000001,7.277649058121435,2013,afr100,17996906.0,30
forest,2355741.3200000003,13.089701752067828,2013,afr100,17996906.0,30
grassland,5712639.91,31.742344545223496,2013,afr100,17996906.0,30
savanna,3893171.3,21.63244782186449,2013,afr100,17996906.0,30
shrubland,764828.4299999999,4.249777322835381,2013,afr100,17996906.0,30
snow,1.02,5.667640871158631e-06,2013,afr100,17996906.0,30
urban,36359.77999999999,0.2020335050924864,2013,afr100,17996906.0,30
water,264474.3,1.4695542667167345,2013,afr100,17996906.0,30
wetland,61808.61,0.34344020022108246,2013,afr100,17996906.0,30
barren,3597047.81,19.987034493595733,2014,afr100,17996906.0,30
cropland,1316892.19,7.317325489170194,2014,afr100,17996906.0,30
forest,2350741.44,13.061919865559112,2014,afr100,17996906.0,30
grassland,5718790.369999998,31.776519641765084,2014,afr100,17996906.0,30
savanna,3879720.8099999996,21.557710030824182,2014,afr100,17996906.0,30
shrubland,770073.22,4.278920054369345,2014,afr100,17996906.0,30
snow,1.02,5.667640871158631e-06,2014,afr100,17996906.0,30
urban,36660.630000000005,0.20370518132394538,2014,afr100,17996906.0,30
water,264287.24,1.4685148658330494,2014,afr100,17996906.0,30
wetland,62691.33000000001,0.3483450433091111,2014,afr100,17996906.0,30
barren,3598668.9699999997,19.996042486414055,2015,afr100,17996906.0,30
cropland,1320676.7800000003,7.33835460384135,2015,afr100,17996906.0,30
forest,2347281.02,13.04269200494796,2015,afr100,17996906.0,30
grassland,5728273.65,31.829213588157877,2015,afr100,17996906.0,30
savanna,3854437.05,21.417220548909906,2015,afr100,17996906.0,30
shrubland,783036.52,4.350950768982179,2015,afr100,17996906.0,30
snow,2.02,1.122415152915729e-05,2015,afr100,17996906.0,30
urban,37039.05,0.20580787608714524,2015,afr100,17996906.0,30
water,264140.92,1.4677018371935708,2015,afr100,17996906.0,30
wetland,63349.9,0.3520043945331492,2015,afr100,17996906.0,30
barren,3598960.57,19.997662764921927,2016,afr100,17996906.0,30
cropland,1330432.5999999999,7.3925629216488655,2016,afr100,17996906.0,30
forest,2342577.1399999997,13.016554845594014,2016,afr100,17996906.0,30
grassland,5714547.760000001,31.75294553408236,2016,afr100,17996906.0,30
savanna,3848013.350000001,21.381527191396128,2016,afr100,17996906.0,30
shrubland,797204.2599999999,4.429673967291933,2016,afr100,17996906.0,30
snow,1.02,5.667640871158631e-06,2016,afr100,17996906.0,30
urban,37370.56,0.20764991493537832,2016,afr100,17996906.0,30
water,263987.62,1.4668500241096998,2016,afr100,17996906.0,30
wetland,63811.16000000001,0.35456739063925774,2016,afr100,17996906.0,30
barren,3602868.9299999997,20.01937960891722,2017,afr100,17996906.0,30
cropland,1340775.8199999998,7.45003513381689,2017,afr100,17996906.0,30
forest,2329262.26,12.94257057296404,2017,afr100,17996906.0,30
grassland,5696486.650000001,31.652588783872083,2017,afr100,17996906.0,30
savanna,3868694.66,21.496443110832498,2017,afr100,17996906.0,30
shrubland,794705.4199999999,4.415789136199299,2017,afr100,17996906.0,30
snow,1.02,5.667640871158631e-06,2017,afr100,17996906.0,30
urban,37878.659999999996,0.21047317800070744,2017,afr100,17996906.0,30
water,262724.01,1.4598287616771461,2017,afr100,17996906.0,30
wetland,63508.700000000004,0.3528867684256394,2017,afr100,17996906.0,30
barren,3586135.6599999997,19.92640101581905,2018,afr100,17996906.0,30
cropland,1340477.8500000006,7.448379460336129,2018,afr100,17996906.0,30
forest,2316055.739999999,12.869188403828963,2018,afr100,17996906.0,30
grassland,5712581.920000001,31.742022323170442,2018,afr100,17996906.0,30
savanna,3908259.5999999996,21.716286121625572,2018,afr100,17996906.0,30
shrubland,767411.51,4.264130234385844,2018,afr100,17996906.0,30
snow,2.02,1.122415152915729e-05,2018,afr100,17996906.0,30
urban,38214.40999999999,0.21233877645413043,2018,afr100,17996906.0,30
water,263811.26,1.465870077890055,2018,afr100,17996906.0,30
wetland,63956.00000000002,0.3553721956429623,2018,afr100,17996906.0,30
barren,3587064.54,19.931562347439055,2019,afr100,17996906.0,30
cropland,1322972.31,7.351109740752106,2019,afr100,17996906.0,30
forest,2314529.4100000006,12.860707334916349,2019,afr100,17996906.0,30
grassland,5739931.779999998,31.8939921117552,2019,afr100,17996906.0,30
savanna,3916488.1,21.762007869574916,2019,afr100,17996906.0,30
shrubland,749075.88,4.162248110869724,2019,afr100,17996906.0,30
snow,4.02,2.23371728451546e-05,2019,afr100,17996906.0,30
urban,38652.33,0.2147720836014813,2019,afr100,17996906.0,30
