category,category_km2,platform_category_percent,year,platform,platform_km2,n_countries
barren,424160.20000000007,2.218083131746159,2001,cities4forests,19122827.0,18
cropland,2760403.5900000003,14.435122955408216,2001,cities4forests,19122827.0,18
forest,5198660.699999999,27.18562846382493,2001,cities4forests,19122827.0,18
grassland,4515229.33,23.611725034169893,2001,cities4forests,19122827.0,18
savanna,4347912.46,22.736766169562692,2001,cities4forests,19122827.0,18
shrubland,1390809.2699999998,7.273031701850358,2001,cities4forests,19122827.0,18
snow,9122.38,0.047704139142188545,2001,cities4forests,19122827.0,18
urban,107533.90000000001,0.562332650920285,2001,cities4forests,19122827.0,18
water,282444.77999999997,1.4770032694433726,2001,cities4forests,19122827.0,18
wetland,86550.39000000001,0.4526024839318999,2001,cities4forests,19122827.0,18
barren,422899.3,2.211489441388556,2002,cities4forests,19122827.0,18
cropland,2766751.98,14.468320923470154,2002,cities4forests,19122827.0,18
forest,5190134.4,27.14104143702184,2002,cities4forests,19122827.0,18
grassland,4537820.319999999,23.729861280447704,2002,cities4forests,19122827.0,18
savanna,4346034.6,22.72694617798927,2002,cities4forests,19122827.0,18
shrubland,1374024.8199999996,7.185259899072452,2002,cities4forests,19122827.0,18
snow,8975.93,0.046938300492913525,2002,cities4forests,19122827.0,18
urban,107599.5,0.5626756964333778,2002,cities4forests,19122827.0,18
water,283322.84,1.4815949545535292,2002,cities4forests,19122827.0,18
wetland,85263.32000000002,0.4458719414237237,2002,cities4forests,19122827.0,18
barren,416540.97000000003,2.1782394935644196,2003,cities4forests,19122827.0,18
cropland,2792513.5000000005,14.603036988202636,2003,cities4forests,19122827.0,18
forest,5161032.009999999,26.98885478595816,2003,cities4forests,19122827.0,18
grassland,4555978.490000001,23.824816749113513,2003,cities4forests,19122827.0,18
savanna,4346543.369999999,22.729606715576097,2003,cities4forests,19122827.0,18
shrubland,1364352.3300000003,7.134679040917959,2003,cities4forests,19122827.0,18
snow,9247.13,0.04835650084582159,2003,cities4forests,19122827.0,18
