category,category_km2,platform_category_percent,year,platform,platform_km2,n_countries
barren,185726.13999999998,1.2973567404926634,2001,initative20x20,14315734.0,15
cropland,540565.2599999999,3.7760219629674587,2001,initative20x20,14315734.0,15
forest,5696173.25,39.789599681022295,2001,initative20x20,14315734.0,15
grassland,2772395.2200000007,19.366071065584205,2001,initative20x20,14315734.0,15
savanna,4186294.57,29.2426121496809,2001,initative20x20,14315734.0,15
shrubland,522024.06,3.646505725797923,2001,initative20x20,14315734.0,15
snow,609.99,0.004260976070105801,2001,initative20x20,14315734.0,15
urban,64871.900000000016,0.45315105743093587,2001,initative20x20,14315734.0,15
water,257220.86999999997,1.7967703926323302,2001,initative20x20,14315734.0,15
wetland,89852.73,0.627650178467971,2001,initative20x20,14315734.0,15
barren,183944.84,1.2849137878644574,2002,initative20x20,14315734.0,15
cropland,543014.8999999999,3.7931334851569605,2002,initative20x20,14315734.0,15
forest,5685911.19,39.71791589589469,2002,initative20x20,14315734.0,15
grassland,2791145.639999999,19.49704877165222,2002,initative20x20,14315734.0,15
savanna,4184863.4,29.232614967559467,2002,initative20x20,14315734.0,15
shrubland,514675.06000000006,3.5951706004037245,2002,initative20x20,14315734.0,15
snow,599.29,0.004186233133418098,2002,initative20x20,14315734.0,15
urban,64871.60999999999,0.45314903168779186,2002,initative20x20,14315734.0,15
water,258229.97999999998,1.803819350094099,2002,initative20x20,14315734.0,15
wetland,88478.12,0.6180480861128043,2002,initative20x20,14315734.0,15
barren,179952.12,1.2570233562596231,2003,initative20x20,14315734.0,15
cropland,550344.4,3.8443323967880376,2003,initative20x20,14315734.0,15
forest,5648519.660000001,39.45672404921746,2003,initative20x20,14315734.0,15
grassland,2819159.4500000007,19.692734232139273,2003,initative20x20,14315734.0,15
savanna,4194816.84,29.302142942862723,2003,initative20x20,14315734.0,15
shrubland,510365.02999999997,3.5650636565334333,2003,initative20x20,14315734.0,15
snow,628.69,0.004391601576279638,2003,initative20x20,14315734.0,15
urban,64907.88000000001,0.4534023892871998,2003,initative20x20,14315734.0,15
water,258855.78000000003,1.8081907640921522,2003,initative20x20,14315734.0,15
wetland,88184.13000000002,0.6159944715374008,2003,initative20x20,14315734.0,15
barren,176237.66,1.2310766601279404,2004,initative20x20,14315734.0,15
cropland,551633.87,3.8533397588974476,2004,initative20x20,14315734.0,15
forest,5624691.98,39.29028005130579,2004,initative20x20,14315734.0,15
grassland,2838542.2600000002,19.82812938547196,2004,initative20x20,14315734.0,15
savanna,4204097.029999999,29.36696805067766,2004,initative20x20,14315734.0,15
shrubland,506393.62999999995,3.53732215197628,2004,initative20x20,14315734.0,15
snow,637.65,0.004454190054104106,2004,initative20x20,14315734.0,15
urban,64986.97,0.45395485833978194,2004,initative20x20,14315734.0,15
water,260141.71,1.8171733981645648,2004,initative20x20,14315734.0,15
wetland,88371.25,0.6173015648376814,2004,initative20x20,14315734.0,15
barren,174232.55,1.2170703227651478,2005,initative20x20,14315734.0,15
cropland,555761.9499999998,3.8821757235779866,2005,initative20x20,14315734.0,15
forest,5589756.079999999,39.04624156889195,2005,initative20x20,14315734.0,15
grassland,2853493.3299999996,19.932567411492837,2005,initative20x20,14315734.0,15
savanna,4224357.32,29.508492683644445,2005,initative20x20,14315734.0,15
shrubland,502652.54,3.5111894367414203,2005,initative20x20,14315734.0,15
snow,624.23,0.004360447043791118,2005,initative20x20,14315734.0,15
urban,65134.649999999994,0.4549864505724959,2005,initative20x20,14315734.0,15
