alpha3code,image_timestamp,avg_ssm_mm,avg_susm_mm,month,year,platform,country,country_clean,alpha2code,numeric,continet_code,area_km2
GIN,2017-01-03 12:00:00+00:00,3.3633882999420166,18.51844596862793,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-06 12:00:00+00:00,3.214357614517212,17.161514282226562,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-09 12:00:00+00:00,3.0767576694488525,16.00081443786621,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-12 12:00:00+00:00,2.953148603439331,15.13473129272461,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-15 12:00:00+00:00,2.852616548538208,14.225335121154785,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-18 12:00:00+00:00,3.060588836669922,13.824618339538574,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-21 12:00:00+00:00,2.8958168029785156,14.418732643127441,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-24 12:00:00+00:00,2.8929715156555176,13.97603988647461,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-27 12:00:00+00:00,2.7528069019317627,13.390168190002441,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-01-30 12:00:00+00:00,2.642911672592163,12.701181411743164,1,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-02 12:00:00+00:00,2.6081666946411133,12.150598526000977,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-05 12:00:00+00:00,2.4890451431274414,11.680948257446289,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-08 12:00:00+00:00,2.476024866104126,11.207752227783203,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-11 12:00:00+00:00,3.3939311504364014,10.952827453613281,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-14 12:00:00+00:00,2.97687029838562,13.450101852416992,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-17 12:00:00+00:00,3.3707242012023926,13.938435554504395,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-20 12:00:00+00:00,2.7669289112091064,13.721808433532715,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-23 12:00:00+00:00,4.423257350921631,15.742474555969238,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-02-26 12:00:00+00:00,5.6359944343566895,21.541566848754883,2,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
GIN,2017-03-01 12:00:00+00:00,4.745097637176514,25.578689575195312,3,2017,afr100,Guinea,Guinea,GN,324,AF,245857.0
